par,k_stop,k_obj,k_trail,frac,n,retorno_medio,exceso,p
BTCUSDT,2.0,2.0,1.5,0.3,42,2.4,2.1,0.064
ETHUSDT,2.0,2.0,1.5,0.3,49,0.84,0.48,0.595
BTCUSDT,2.0,2.0,1.5,0.5,42,2.21,1.91,0.056
ETHUSDT,2.0,2.0,1.5,0.5,49,0.87,0.51,0.558
BTCUSDT,2.0,2.0,1.5,0.7,42,2.02,1.72,0.053
ETHUSDT,2.0,2.0,1.5,0.7,49,0.9,0.53,0.53
BTCUSDT,2.0,3.0,1.5,0.3,39,3.3,2.99,0.018
ETHUSDT,2.0,3.0,1.5,0.3,47,1.69,1.13,0.314
BTCUSDT,2.0,3.0,1.5,0.5,39,3.21,2.91,0.012
ETHUSDT,2.0,3.0,1.5,0.5,47,1.68,1.12,0.295
BTCUSDT,2.0,3.0,1.5,0.7,39,3.13,2.82,0.009
ETHUSDT,2.0,3.0,1.5,0.7,47,1.66,1.1,0.285
BTCUSDT,2.0,3.0,2.0,0.3,37,3.43,3.16,0.03
ETHUSDT,2.0,3.0,2.0,0.3,42,3.48,2.9,0.045
BTCUSDT,2.0,3.0,2.0,0.5,37,3.26,3.0,0.021
ETHUSDT,2.0,3.0,2.0,0.5,42,3.13,2.55,0.048
BTCUSDT,2.0,3.0,2.0,0.7,37,3.1,2.83,0.016
ETHUSDT,2.0,3.0,2.0,0.7,42,2.78,2.2,0.061
BTCUSDT,2.0,4.0,1.5,0.3,39,3.11,2.96,0.033
ETHUSDT,2.0,4.0,1.5,0.3,44,2.74,1.92,0.2
BTCUSDT,2.0,4.0,1.5,0.5,39,3.05,2.9,0.025
ETHUSDT,2.0,4.0,1.5,0.5,44,2.47,1.65,0.239
BTCUSDT,2.0,4.0,1.5,0.7,39,2.99,2.84,0.02
ETHUSDT,2.0,4.0,1.5,0.7,44,2.2,1.37,0.295
BTCUSDT,2.0,4.0,2.0,0.3,37,3.41,3.17,0.041
ETHUSDT,2.0,4.0,2.0,0.3,41,3.97,3.14,0.07
BTCUSDT,2.0,4.0,2.0,0.5,37,3.27,3.04,0.031
ETHUSDT,2.0,4.0,2.0,0.5,41,3.41,2.59,0.099
BTCUSDT,2.0,4.0,2.0,0.7,37,3.14,2.9,0.026
ETHUSDT,2.0,4.0,2.0,0.7,41,2.85,2.03,0.155
BTCUSDT,2.0,4.0,3.0,0.3,35,3.83,3.48,0.046
ETHUSDT,2.0,4.0,3.0,0.3,39,4.16,3.57,0.045
BTCUSDT,2.0,4.0,3.0,0.5,35,3.57,3.22,0.037
ETHUSDT,2.0,4.0,3.0,0.5,39,3.67,3.08,0.054
BTCUSDT,2.0,4.0,3.0,0.7,35,3.32,2.97,0.033
ETHUSDT,2.0,4.0,3.0,0.7,39,3.18,2.6,0.074
BTCUSDT,3.0,2.0,1.5,0.3,42,2.24,2.0,0.095
ETHUSDT,3.0,2.0,1.5,0.3,46,1.31,0.61,0.572
BTCUSDT,3.0,2.0,1.5,0.5,42,2.06,1.82,0.088
ETHUSDT,3.0,2.0,1.5,0.5,46,1.28,0.58,0.572
BTCUSDT,3.0,2.0,1.5,0.7,42,1.88,1.64,0.088
ETHUSDT,3.0,2.0,1.5,0.7,46,1.26,0.56,0.58
BTCUSDT,3.0,3.0,1.5,0.3,39,3.24,2.82,0.032
ETHUSDT,3.0,3.0,1.5,0.3,45,1.94,1.05,0.388
BTCUSDT,3.0,3.0,1.5,0.5,39,3.18,2.76,0.022
ETHUSDT,3.0,3.0,1.5,0.5,45,2.05,1.17,0.328
BTCUSDT,3.0,3.0,1.5,0.7,39,3.11,2.69,0.017
ETHUSDT,3.0,3.0,1.5,0.7,45,2.17,1.28,0.281
BTCUSDT,3.0,3.0,2.0,0.3,37,3.34,2.96,0.049
ETHUSDT,3.0,3.0,2.0,0.3,40,4.1,3.75,0.02
BTCUSDT,3.0,3.0,2.0,0.5,37,3.21,2.83,0.036
ETHUSDT,3.0,3.0,2.0,0.5,40,3.71,3.35,0.02
BTCUSDT,3.0,3.0,2.0,0.7,37,3.08,2.69,0.029
ETHUSDT,3.0,3.0,2.0,0.7,40,3.32,2.96,0.024
BTCUSDT,3.0,4.0,1.5,0.3,38,3.42,3.14,0.036
ETHUSDT,3.0,4.0,1.5,0.3,43,3.26,2.33,0.132
BTCUSDT,3.0,4.0,1.5,0.5,38,3.38,3.1,0.027
ETHUSDT,3.0,4.0,1.5,0.5,43,3.21,2.28,0.132
BTCUSDT,3.0,4.0,1.5,0.7,38,3.34,3.06,0.022
ETHUSDT,3.0,4.0,1.5,0.7,43,3.17,2.24,0.135
BTCUSDT,3.0,4.0,2.0,0.3,36,3.71,3.21,0.052
ETHUSDT,3.0,4.0,2.0,0.3,39,4.94,4.34,0.023
BTCUSDT,3.0,4.0,2.0,0.5,36,3.62,3.12,0.039
ETHUSDT,3.0,4.0,2.0,0.5,39,4.38,3.78,0.031
BTCUSDT,3.0,4.0,2.0,0.7,36,3.52,3.02,0.031
ETHUSDT,3.0,4.0,2.0,0.7,39,3.83,3.23,0.048
BTCUSDT,3.0,4.0,3.0,0.3,34,3.98,3.64,0.049
ETHUSDT,3.0,4.0,3.0,0.3,37,5.38,5.75,0.004
BTCUSDT,3.0,4.0,3.0,0.5,34,3.75,3.41,0.04
ETHUSDT,3.0,4.0,3.0,0.5,37,4.89,5.26,0.004
BTCUSDT,3.0,4.0,3.0,0.7,34,3.51,3.17,0.035
ETHUSDT,3.0,4.0,3.0,0.7,37,4.4,4.77,0.004
BTCUSDT,4.0,2.0,1.5,0.3,41,2.2,1.94,0.134
ETHUSDT,4.0,2.0,1.5,0.3,45,1.42,0.57,0.633
BTCUSDT,4.0,2.0,1.5,0.5,41,2.02,1.76,0.132
ETHUSDT,4.0,2.0,1.5,0.5,45,1.41,0.56,0.626
BTCUSDT,4.0,2.0,1.5,0.7,41,1.84,1.58,0.14
ETHUSDT,4.0,2.0,1.5,0.7,45,1.41,0.56,0.624
BTCUSDT,4.0,3.0,1.5,0.3,38,3.04,2.61,0.069
ETHUSDT,4.0,3.0,1.5,0.3,44,2.05,1.02,0.446
BTCUSDT,4.0,3.0,1.5,0.5,38,2.98,2.55,0.055
ETHUSDT,4.0,3.0,1.5,0.5,44,2.19,1.17,0.379
BTCUSDT,4.0,3.0,1.5,0.7,38,2.91,2.48,0.048
ETHUSDT,4.0,3.0,1.5,0.7,44,2.33,1.31,0.323
BTCUSDT,4.0,3.0,2.0,0.3,36,3.14,2.74,0.092
ETHUSDT,4.0,3.0,2.0,0.3,39,4.45,4.06,0.017
BTCUSDT,4.0,3.0,2.0,0.5,36,3.0,2.6,0.078
ETHUSDT,4.0,3.0,2.0,0.5,39,4.07,3.68,0.017
BTCUSDT,4.0,3.0,2.0,0.7,36,2.86,2.47,0.071
ETHUSDT,4.0,3.0,2.0,0.7,39,3.69,3.3,0.02
BTCUSDT,4.0,4.0,1.5,0.3,37,3.4,2.91,0.07
ETHUSDT,4.0,4.0,1.5,0.3,41,3.37,2.73,0.117
