bear,din,trend,refuerzo,m1,capital_final,caida_max_pct,n_trades,calmar
False,True,False,False,False,1077.0,-11.8,5098,83.02
False,True,False,True,False,1073.4,-11.8,5071,82.71
False,True,True,True,False,953.7,-12.0,4989,70.93
False,True,True,False,False,951.7,-12.0,5013,70.77
True,True,False,False,False,906.5,-11.8,3616,68.53
True,True,False,True,False,898.6,-11.8,3589,67.86
True,True,True,False,False,811.3,-12.0,3566,59.1
True,True,True,True,False,809.9,-12.0,3542,58.98
False,False,False,True,False,563.3,-14.9,2866,31.0
False,False,False,False,False,560.5,-14.9,2869,30.81
False,False,True,True,False,528.5,-14.9,2786,28.67
False,False,True,False,False,526.1,-14.9,2786,28.51
False,True,False,False,True,503.6,-9.9,1625,40.69
False,True,False,True,True,497.0,-9.9,1601,40.03
True,False,False,True,False,494.9,-14.9,1804,26.42
True,False,False,False,False,490.0,-14.9,1811,26.09
True,False,True,True,False,464.6,-14.9,1742,24.39
True,False,True,False,False,460.8,-14.9,1748,24.14
True,True,False,False,True,445.2,-9.9,1327,34.8
True,True,False,True,True,438.6,-9.9,1303,34.14
False,True,True,False,True,415.7,-10.0,1569,31.42
False,True,True,True,True,414.3,-10.0,1547,31.28
True,True,True,False,True,372.8,-10.0,1285,27.15
True,True,True,True,True,371.4,-10.0,1263,27.01
False,False,False,True,True,209.0,-8.9,782,12.23
False,False,False,False,True,207.6,-8.9,790,12.07
True,False,False,True,True,194.1,-8.9,604,10.56
True,False,False,False,True,192.6,-8.9,612,10.39
False,False,True,True,True,189.5,-10.4,729,8.65
False,False,True,False,True,188.5,-10.4,737,8.5
True,False,True,True,True,178.1,-8.9,560,8.76
True,False,True,False,True,177.1,-8.9,568,8.65
