din,percentil_corte,mult_min,capital_final,caida_max_pct,n_trades,calmar
False,-,-,560.5,-14.9,2869,30.91
False,0.8,0.2,467.8,-17.5,2869,21.02
False,0.8,0.4,490.9,-16.8,2869,23.27
False,0.8,0.6,514.1,-16.1,2869,25.72
False,0.9,0.2,512.8,-16.8,2869,24.57
False,0.9,0.4,524.8,-16.3,2869,26.06
False,0.9,0.6,536.7,-15.8,2869,27.64
False,0.95,0.2,538.3,-16.1,2869,27.22
False,0.95,0.4,543.9,-15.8,2869,28.09
False,0.95,0.6,549.4,-15.5,2869,28.99
True,-,-,1077.0,-11.8,5098,82.8
True,0.8,0.2,932.6,-13.4,5098,62.13
True,0.8,0.4,968.7,-13.0,5098,66.82
True,0.8,0.6,1004.8,-12.6,5098,71.81
True,0.9,0.2,1000.3,-12.9,5098,69.79
True,0.9,0.4,1019.5,-12.6,5098,72.98
True,0.9,0.6,1038.7,-12.3,5098,76.32
True,0.95,0.2,1046.0,-12.4,5098,76.29
True,0.95,0.4,1053.7,-12.2,5098,78.17
True,0.95,0.6,1061.5,-12.1,5098,79.46
