entry_ts,exit_ts,side,entry_price,exit_price,pnl,won,close_reason,ema9_ratio,ema21_ratio,ema50_ratio,ema200_ratio,rsi,stochrsi_k,stochrsi_d,macd_h_norm,adx,adx_dmp_norm,adx_dmn_norm,bb_pct,vol_ratio,atr_contracted,bull_engulf,bear_engulf,hammer,shooting_star,three_bull,three_bear,ms_bull,ms_bear,near_channel_top,near_channel_bot,hurst_acf1,bull_score,bear_score,net_score,regime_enc,htf_rsi,side_enc
2023-01-02 03:45:00,2023-01-02 08:00:00,LONG,16661.5,16746.09,1.78,1,TAKE_PROFIT,0.9964280784533848,0.9959839708824089,0.9955025969950377,1.0,74.05466615278525,84.85813248097404,70.92925769910308,0.2782217602671584,24.9631973396214,1.9232768007140593,0.5716756725620472,0.5,5.562050572445007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12270603436824368,59,27,32,0,61.0,1
2023-01-02 15:45:00,2023-01-02 22:30:00,LONG,16735.39,16711.34,-0.5,0,SENAL_BAJISTA,0.9990135003744643,0.9987773466314942,0.997495943519786,1.0,58.797058674520706,79.85260918642406,62.96332237454031,0.033124003455468065,26.969048515858535,0.8905591746085025,0.6465639194562124,0.5,1.7177818384675878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.018315722126755227,59,22,37,0,72.3,1
2023-01-02 23:45:00,2023-01-03 05:45:00,SHORT,16675.59,16723.96,-1.02,0,STOP_LOSS,1.0019271222163175,1.0024405506437672,1.0021946506350135,1.0,34.92486432044778,10.814739349594422,15.379048280864673,-0.24418299411562103,14.756435057871991,1.1122248399007821,1.9014740026325345,0.5,2.4062538152921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.04005030696701706,35,58,23,0,55.1,-1
2023-01-03 15:15:00,2023-01-03 23:00:00,SHORT,16646.45,16678.75,-0.68,0,STOP_LOSS,1.002996670493549,1.0038475121948762,1.0040167280901218,1.0009511152320345,29.152745689062876,0.0,32.907598257296584,-0.3640045097445159,22.723983568001493,0.7106725674932944,1.5414707926995377,0.5,2.3719282407181073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.07757684028765588,20,67,47,0,52.5,-1
2023-01-04 03:00:00,2023-01-04 12:30:00,LONG,16829.96,16825.77,-0.09,0,STOP_LOSS,0.9943233924319307,0.9925163590448163,0.9915523600329155,0.9902346967600987,82.7660687518456,96.94467914475233,96.80304452304566,0.5169789073134513,32.913497683132874,1.7949664414745155,0.21316383319385906,0.5,7.159870192977337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11877261184046987,59,40,19,0,70.3,1
2023-01-04 16:00:00,2023-01-04 19:00:00,LONG,16877.99,16879.92,0.04,1,STOP_LOSS,0.9975950275315576,0.9973519035430974,0.9965311212754715,0.9916549499326298,62.49519868128753,96.13980832663674,74.87232050022135,0.18031321783463844,22.405405035374322,1.3450948404735097,0.9420413926245232,0.5,2.537915422985526,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.22183668111873103,59,26,33,0,65.4,1
2023-01-05 06:30:00,2023-01-05 07:45:00,SHORT,16817.79,16820.0,-0.05,0,STOP_LOSS,1.0008349637482699,1.000983600078288,1.0011015815566175,0.9979758735139255,38.9757104000656,22.013185195731854,54.852308037624034,-0.09298392080007563,11.431051365809465,1.9957358001769603,3.5721010721455784,0.5,3.1829413622291223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.05453535580977983,28,67,39,0,60.9,-1
2023-01-06 04:15:00,2023-01-06 12:30:00,SHORT,16810.1,16736.42,1.53,1,STOP_LOSS,1.001134355695638,1.0014428036749776,1.0015385930462968,1.000121834898825,36.16702433622537,19.50193891908959,30.057227786424242,-0.20359776011808609,19.21777867075998,0.9856443850073795,2.206662978240166,0.5,1.8005349969302336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.09502966085951607,16,60,44,0,52.7,-1
2023-01-06 13:30:00,2023-01-06 15:30:00,SHORT,16776.92,16826.42,-1.03,0,STOP_LOSS,0.9977787778531545,0.9987786211660258,1.0003806383468983,1.001444195206088,53.21484575922594,42.67218935380964,31.938864072750086,-0.0038667124248147377,48.109604537641296,0.42283926446195297,0.6904574831874215,0.5,5.53027810772906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.22571895070462225,23,67,44,0,57.8,-1
2023-01-06 19:45:00,2023-01-06 20:45:00,LONG,16940.0,16894.15,-0.95,0,STOP_LOSS,0.9961774311471264,0.9941442017204132,0.9926288059651501,0.9921077578832387,77.25273486551892,99.99999999999999,92.33071356621062,0.40251043612070736,37.74659830594714,1.3714154691295648,0.26578789052187807,0.5,2.4993785887789604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0697937015511654,59,36,23,0,65.9,1
2023-01-09 00:00:00,2023-01-09 18:15:00,LONG,17162.17,17377.02,4.38,1,STOP_LOSS,0.9936654882662614,0.9909082667885827,0.9889734987910547,0.9865334726123813,88.40440449502462,99.92726172503261,99.9272617250326,0.6437387053889235,40.12606479366189,1.3463431905331167,0.11822167223331274,0.5,2.4894648015321343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1576675755661884,59,32,27,0,74.7,1
2023-01-10 08:30:00,2023-01-10 12:15:00,LONG,17243.37,17232.13,-0.23,0,STOP_LOSS,0.9985830371256952,0.9982029674308458,0.9983959273487281,0.9944090280680115,60.00881879752336,61.25810258876388,41.27012267127955,0.24037556254932954,20.146174664500943,1.8109564744508833,1.0216420632872034,0.5,1.900043000629398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.03947870907410532,59,31,28,0,68.6,1
2023-01-10 14:00:00,2023-01-10 15:30:00,LONG,17286.07,17275.08,-0.22,0,STOP_LOSS,0.9978659094796233,0.9976166857920321,0.9971177558248464,0.9931502166723403,64.04507697658033,55.29688470920226,37.70786752194765,0.002301362123877029,20.30473780675534,1.8429696099331643,1.0989813856907076,0.5,2.901024934857453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03787208726555516,59,22,37,0,72.2,1
2023-01-10 18:15:00,2023-01-11 02:45:00,LONG,17375.46,17390.37,0.3,1,STOP_LOSS,0.9973828636131277,0.9960330900409654,0.9942776653219887,0.9893592936598975,66.35414657305408,49.996809297766575,36.82604677397678,0.13780308222942114,16.46943984401597,2.2225835900690503,1.0719171718808704,0.5,1.7863235416689467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03257973127600712,59,35,24,0,76.6,1
2023-01-11 07:30:00,2023-01-11 12:15:00,LONG,17446.31,17413.06,-0.67,0,STOP_LOSS,0.9993246811002217,0.9989865211117548,0.9980475159287432,0.9910685460982993,57.82691429911547,95.2843325467859,96.20663860865957,0.2090239960938711,17.689070789123043,1.5961611752395166,1.3223180347868562,0.5,1.661410560206582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1268947340859678,59,41,18,0,75.3,1
2023-01-11 18:00:00,2023-01-12 00:45:00,LONG,17519.24,18252.18,14.68,1,TAKE_PROFIT,0.9933799440922437,0.993066556876877,0.9935415457175292,0.9893238149675487,71.02417305180522,91.83073702499266,86.94811452365322,0.37721724211662594,27.703419528073205,1.810832885735891,0.6533222003035819,0.5,3.053277182840584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026645713949616154,59,37,22,0,71.9,1
2023-01-12 00:45:00,2023-01-12 14:30:00,LONG,18252.18,17987.9,-5.16,0,STOP_LOSS,0.980820663786729,0.9716811783855596,0.9638435489830958,0.9536976437547087,91.07034783442526,96.80393335504105,97.8692889033607,0.6930206672439915,60.444382167098965,1.0491521085154676,0.04482948004542938,0.5,4.50695893417333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12410466026073388,59,37,22,0,85.6,1
2023-01-12 17:30:00,2023-01-13 00:30:00,LONG,18645.6,18716.63,1.35,1,STOP_LOSS,0.9787291321921221,0.9755693447044613,0.9726101629154476,0.9536347620973932,77.83326350235467,87.01982124806663,71.17656070397567,0.3463229664509868,33.50279945029647,1.5624131548273017,0.4440343522780822,0.5,4.032048733348582,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.054844767503950814,59,38,21,0,84.4,1
2023-01-13 07:00:00,2023-01-13 11:30:00,LONG,18831.73,18933.51,1.92,1,STOP_LOSS,0.9998929037664505,0.9996508215706956,0.9957045276363969,0.9675324227153642,52.451562044124344,61.63487617422858,54.52887176519597,-0.08481709231759127,13.161309013286628,1.7797970814049728,1.5092804984330015,0.5,1.6772100153479863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.18057230853312467,59,19,40,0,80.4,1
2023-01-13 15:15:00,2023-01-14 00:30:00,LONG,19270.48,21020.21,32.27,1,TAKE_PROFIT,0.9872127724662295,0.9837800258305942,0.9800540379270914,0.9557067323383722,80.18663901830112,99.99999999999999,86.27324714754965,0.3847360840345801,22.74369439308701,1.6541242566764434,0.42428698258155306,0.5,2.747785629385904,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.20788380055528508,59,41,18,0,84.8,1
2023-01-16 00:45:00,2023-01-16 02:45:00,LONG,20966.52,21207.98,4.22,1,STOP_LOSS,0.9959850025651122,0.995619395597919,0.9943033057295529,0.9784473738763585,59.51603645525724,36.05410001918647,34.819665092318665,0.004615654901098061,12.179567561577434,2.432322347218306,1.5914808672261216,0.5,2.468992263856379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1374294858522667,62,24,38,0,80.9,1
2023-01-16 06:45:00,2023-01-16 08:00:00,LONG,21151.28,20795.67,-6.19,0,STOP_LOSS,1.000475986572788,0.9989534787220602,0.9946747497983457,0.9763930825120647,53.87255258665872,53.71164807896896,56.92027397957984,-0.08380797899442123,30.32984183562376,0.8583250173623803,0.4722113396192475,0.5,1.5548699744963177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.04215233526041321,62,27,35,0,81.2,1
2023-01-16 15:30:00,2023-01-16 19:15:00,LONG,20971.8,21284.45,5.46,1,STOP_LOSS,0.9943396993610465,0.994317070057518,0.9962716185669754,0.9875853060009625,57.77587274970085,66.66666666666666,64.34886833870057,0.18741644217093123,27.925945086970827,0.7670357134950956,0.9442197946051979,0.5,2.181370598044934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.09883174656381395,62,35,27,0,72.6,1
2023-01-16 21:15:00,2023-01-17 01:00:00,LONG,21111.6,20973.57,-2.41,0,STOP_LOSS,1.0056301630756783,1.0027530541241902,0.9978751756521249,0.9854297417384307,48.07977840222893,1.2625335338009944,8.911833159815364,-0.13314895230333662,27.763219710069233,0.8203498509138629,0.826218560959475,0.5,1.4219477842483936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.09399172134071078,62,35,27,0,72.2,1
2023-01-17 04:15:00,2023-01-17 14:30:00,LONG,21214.26,21149.98,-1.11,0,STOP_LOSS,0.9955621950964193,0.9952806147905708,0.9945676167514216,0.984299913762184,59.44218860719035,95.831232107956,89.13271354470254,0.16863637710851392,18.028664297035476,1.467883817914125,1.1394581959525976,0.5,1.6197429151191374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.12327515621808337,62,31,31,0,70.3,1
2023-01-17 15:30:00,2023-01-17 23:45:00,LONG,21119.59,21127.5,0.14,1,STOP_LOSS,1.0051975333788443,1.0048296481727486,1.0031177125251136,0.9939437751389332,43.536651341912105,23.446931537665034,28.16545244437811,-0.09323359076684921,24.24880216566345,1.1104655565872679,1.1710454460822282,0.5,1.5027630331828579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1347286184511347,60,41,19,0,70.1,1
